member_id,landing_page_type,os,pref_id,occupation_id,age,mail_domain_type
2966424,search_other,smartphone,35,2,25,docomo
2966605,search_hello,,13,40,20,gmail
2966842,search_hello,smartphone,26,351,45,ezweb
2966866,jobshil_post,smartphone,21,20,32,other
2966928,search_hello,smartphone,29,343,21,softbank
2967555,search_hello,smartphone,22,27,21,icloud
2967661,search_other,smartphone,29,1,38,icloud
2967677,search_other,smartphone,9,225,24,gmail
2967686,search_hello,smartphone,43,367,24,ezweb
2967919,detail,smartphone,24,221,24,gmail
2968016,search_hello,smartphone,32,334,46,other
2968023,search_hello,smartphone,38,14,25,softbank
2968125,detail,windows,9,14,40,other
2968184,search_hello,,10,278,37,other
2968365,detail,smartphone,28,35,26,ezweb
2968527,search_hello,smartphone,27,226,48,gmail
2968720,search_hello,windows,11,338,50,other
2969016,detail_hello,smartphone,11,217,37,yahoo
2969585,detail,windows,7,343,23,yahoo
2969814,detail,smartphone,25,226,60,gmail
2970314,detail,smartphone,40,226,28,softbank
2970961,search_hello,smartphone,19,1,29,gmail
2971674,detail_hello,,23,367,45,docomo
2972109,search_hello,,13,176,23,other
2972190,search_hello,smartphone,27,170,23,other
2972327,search_hello,smartphone,33,19,19,icloud
2972715,detail,smartphone,14,334,28,softbank
2972752,search_multi,smartphone,20,343,51,yahoo
2973034,search_other,smartphone,26,17,22,other
2973044,search_hello,smartphone,40,26,25,gmail
2973371,detail,smartphone,9,93,21,docomo
2973396,search_multi,smartphone,28,367,52,gmail
2973501,search_hello,,27,367,28,gmail
2973542,search_hello,smartphone,11,146,24,softbank
2973590,jobshil_post,smartphone,14,47,26,other
2973596,detail_hello,,13,2,22,icloud
2974145,jobshil_post,,1,217,19,gmail
2974161,detail,smartphone,33,49,36,ezweb
2974199,search_hello,smartphone,28,63,20,yahoo
2974242,search_hello,,24,5,40,other
2974619,detail_hello,,33,1,20,softbank
2974761,search_other,,9,221,23,gmail
2974812,search_hello,,3,2,29,other
2975278,detail,Mac OSX,21,139,50,gmail
2975358,search_hello,,11,213,23,other
2975990,search_hello,,19,14,24,ezweb
2976014,search_age,,28,296,55,gmail
2976055,search_other,smartphone,13,345,41,softbank
2976059,search_hello,smartphone,43,15,34,gmail
2976518,search_hello,smartphone,23,14,20,other
2976780,search_other,windows,1,232,34,gmail
2977095,login,,12,152,27,docomo
2977143,search_hello,,11,14,29,softbank
2977186,search_hello,smartphone,23,46,28,gmail
2977231,search_hello,smartphone,14,152,19,gmail
2977241,jobshil_post,windows,12,224,29,gmail
2977332,detail,smartphone,25,278,20,icloud
2977579,search_hello,smartphone,13,139,29,docomo
2978013,search_hello,smartphone,23,334,23,icloud
2979271,search_hello,smartphone,11,14,21,icloud
2979870,search_hello,smartphone,13,187,51,softbank
2979963,detail,smartphone,26,367,46,icloud
2980329,detail,smartphone,32,46,37,ezweb
2980667,search_hello,windows,13,14,21,ezweb
2980986,search_hello,smartphone,36,226,27,ezweb
2981208,search_hello,smartphone,13,186,22,softbank
2981517,search_other,smartphone,8,14,29,icloud
2981726,search_hello,smartphone,1,190,18,other
2981894,search_hello,smartphone,9,95,17,other
2982080,detail,windows,44,245,43,other
2982418,detail,,12,35,26,docomo
2982426,jobshil_post,smartphone,44,4,39,other
2982444,search_hello,smartphone,13,15,25,gmail
2982484,top,smartphone,11,18,28,softbank
2982609,search_hello,smartphone,47,336,27,yahoo
2982662,search_hello,smartphone,17,357,20,icloud
2982669,search_hello,smartphone,12,334,17,gmail
2982935,search_hello,smartphone,13,35,27,icloud
